iter	RMSE
243	0.7886082682
244	0.7881868491
245	0.7878811058
246	0.7874815466
247	0.7872873134
248	0.78702566
249	0.786766406
250	0.7863745957
251	0.7860046135
252	0.7854155964
253	0.7848912111
254	0.7844580196
255	0.7841801021
256	0.783919068
257	0.7835421603
258	0.7832321687
259	0.7829522736
260	0.7827692499
261	0.7823877515
262	0.7821249263
263	0.7818173588
264	0.7814089742
265	0.7809806761
266	0.7806760024
267	0.7804081565
268	0.7799586503
269	0.7797575914
270	0.7794149924
271	0.7792093932
272	0.7790420359
273	0.7786634199
274	0.7784243666
275	0.7781782786
276	0.7778086576
277	0.7775076161
278	0.7770875898
279	0.7767424787
280	0.7765321002
281	0.7761992841
282	0.7758845925
283	0.7756871879
284	0.7753731419
285	0.7750378813
286	0.7748247642
287	0.7745100847
288	0.7742828807
289	0.7739315804
290	0.7736962922
291	0.7734770262
292	0.7730998213
293	0.7729595044
294	0.7726799382
295	0.7724650744
296	0.7722566207
297	0.7720057543
298	0.7717105788
299	0.7713977822
300	0.770853064
301	0.7704212877
302	0.7700819563
303	0.7698145263
304	0.7695413251
305	0.769336707
306	0.7690301985
307	0.7688321292
308	0.7685016072
309	0.7682575681
310	0.7679046619
311	0.7678229495
312	0.7675482374
313	0.7671231777
314	0.7668872392
315	0.7666976776
316	0.7662816738
317	0.7659881995
318	0.7658302556
319	0.7656704369
320	0.7651677094
321	0.7650111092
322	0.7647302855
323	0.7646524277
324	0.7642480607
325	0.7640036188
326	0.7636215712
327	0.7634432275
328	0.7631892157
329	0.7629155705
330	0.7625882187
331	0.7623664733
332	0.7620544583
333	0.7618108261
334	0.7614247139
335	0.7611928307
336	0.7609796141
337	0.7606964742
338	0.7605494699
339	0.7602479837
340	0.760010051
341	0.7597197009
342	0.7594935347
343	0.7592312738
344	0.7590312108
345	0.7586039727
346	0.758260116
347	0.75793133
348	0.7576834759
349	0.757427061
350	0.7571566612
351	0.7569769464
352	0.7568082976
353	0.7565919826
354	0.7563802952
355	0.755962675
356	0.7558040114
357	0.7554802024
358	0.7552648767
359	0.7551030185
360	0.7548575427
361	0.7544401001
362	0.7543700918
363	0.7543036968
364	0.7540970488
365	0.7538851455
366	0.753552336
367	0.7533436791
368	0.7530527733
369	0.7528191889
370	0.7525539787
371	0.7522512999
372	0.7519284772
373	0.7517528754
374	0.7513043729
375	0.7510735341
376	0.7509138387
377	0.7505383737
378	0.7502900763
379	0.7500753
380	0.7498429512
381	0.7496064832
382	0.7493172424
383	0.7490599576
384	0.748790519
385	0.7482646768
386	0.7482024491
387	0.7479668563
388	0.74769482
389	0.7473371102
390	0.7471383353
391	0.7468272301
392	0.7463886831
393	0.7461526861
394	0.7460936674
395	0.745817007
396	0.7455653968
397	0.7453751475
398	0.745104714
399	0.7448367969
400	0.7446446073
401	0.744517403
402	0.7442723439
403	0.7440274451
404	0.7438760131
405	0.7437262427
406	0.7434426219
407	0.7432581849
408	0.7430482313
409	0.7428258821
410	0.7425764466
411	0.7422808999
412	0.7420595197
413	0.7418733201
414	0.741689548
415	0.7414434485
416	0.7411719395
417	0.7409040857
418	0.7406897179
419	0.7406339251
420	0.7403770633
421	0.7402063636
422	0.7398780838
423	0.7397112414
424	0.7393953462
425	0.7391453605
426	0.7388901082
427	0.7386581196
428	0.7384225371
429	0.7381986736
430	0.7380509027
431	0.7379155531
432	0.7376465812
433	0.7373843881
434	0.7372145361
435	0.7370642345
436	0.7367917063
437	0.7366568849
438	0.7363433179
439	0.73613412
440	0.735940885
441	0.735799826
442	0.7356337941
443	0.7354345559
444	0.7353824235
445	0.7352100519
446	0.7349729361
447	0.7346504663
448	0.734516352
449	0.7341918932
450	0.7339466644
451	0.7337180843
452	0.733477336
453	0.7331743068
454	0.7328881423
455	0.7325279944
456	0.732330932
457	0.7322156359
458	0.7319414119
459	0.73173737
460	0.7315775285
461	0.7312219915
462	0.7309887993
463	0.7307731237
464	0.7306448906
465	0.7302817223
466	0.7301169881
467	0.7298288174
468	0.7296739157
469	0.7294975957
470	0.7291925484
471	0.7289577553
472	0.7287001495
473	0.7285073615
474	0.7282852568
475	0.7281017364
476	0.7278528797
477	0.7276808982
478	0.7274958934
479	0.7271990655
480	0.7269643784
481	0.7269171002
482	0.7265411012
483	0.7263819198
484	0.7261698247
485	0.7259628471
486	0.7257425368
487	0.7255027836
488	0.7253002295
489	0.7251081588
490	0.7249266599
491	0.724731277
492	0.7246025552
493	0.7243612864
494	0.7241346594
495	0.7239030219
496	0.7236248112
497	0.7231822834
498	0.7230278789
499	0.7227921934
500	0.7226081142
501	0.7223022674
502	0.7221758833
503	0.7219293497
504	0.7217430115
505	0.7216981631
506	0.7215568786
507	0.7213928637
508	0.7211416682
509	0.7210230714
510	0.7208400473
511	0.720733555
512	0.7206330717
513	0.7202765518
514	0.720138779
515	0.7200166326
516	0.7198738224
517	0.7198038495
518	0.7195008618
519	0.7193436326
520	0.7191887515
521	0.7189868683
522	0.7188535522
523	0.7188110333
524	0.7186579099
525	0.7184855371
526	0.7183010284
527	0.7181165593
528	0.7179534885
529	0.7176723477
530	0.7173547714
531	0.7170564177
532	0.7168636968
533	0.7166872448
534	0.7165544605
535	0.7164588011
536	0.7162709642
537	0.7161105911
538	0.7159633358
539	0.7157300213
540	0.7155370203
541	0.7153565496
542	0.7151323476
543	0.7149472405
544	0.7147711188
545	0.7146651773
546	0.7145838223
547	0.7143301205
548	0.7141674902
549	0.713871462
550	0.7136543988
551	0.7133215957
552	0.7131410519
553	0.7129796821
554	0.7127660973
555	0.7126387394
556	0.7125124149
557	0.7123827317
558	0.712242878
559	0.7119617287
560	0.7116402584
561	0.711425345
562	0.7110917753
563	0.710905508
564	0.7107292112
565	0.7106500404
566	0.7104795872
567	0.7103435196
568	0.7101615377
569	0.7099243275
570	0.7098075035
571	0.7094596555
572	0.7093150223
573	0.7090738474
574	0.7090023115
575	0.7087698706
576	0.7083533148
577	0.70817139
578	0.7080636422
579	0.7079359165
580	0.7078157693
581	0.7076115707
582	0.7074043509
583	0.7072982186
584	0.7069969697
585	0.7068727111
586	0.7066630805
587	0.706473961
588	0.7062684365
589	0.706119849
590	0.7059746882
591	0.7057412359
592	0.7056448996
593	0.7054692995
594	0.705210832
595	0.7051178198
596	0.7049210191
597	0.7046637395
598	0.7045611831
599	0.7044710558
600	0.7043614005
601	0.704255716
602	0.7039687415
603	0.7038945187
604	0.7038166076
605	0.703516891
606	0.7032215998
607	0.7030463977
608	0.7029226532
609	0.7028111579
610	0.702715892
611	0.7025367328
612	0.7023926672
613	0.7022557426
614	0.7020147023
615	0.7018594113
616	0.7016331122
617	0.7015300228
618	0.7013951667
619	0.7013576637
620	0.7011633917
621	0.7010656252
622	0.7009117432
623	0.7008103158
624	0.7007375184
625	0.7005650932
626	0.7004234156
627	0.7002250772
628	0.7001009663
629	0.6999929392
630	0.6998548103
631	0.6997476628
632	0.6996000887
633	0.6994918151
634	0.6992016489
635	0.699024792
636	0.6988715481
637	0.6987494307
638	0.6986428246
639	0.6985505017
640	0.6983653694
641	0.6981772129
642	0.6980280486
643	0.6978551875
644	0.6977421762
645	0.6976280123
646	0.6973819681
647	0.697263956
648	0.6971508462
649	0.6970169434
650	0.6967605781
651	0.6966052097
652	0.696493763
653	0.6963167937
654	0.6961948443
655	0.6961075896
656	0.6959487188
657	0.6957909765
658	0.6956421996
659	0.6955168967
660	0.6954171478
661	0.6951825292
662	0.6950841285
663	0.694918253
664	0.6947006247
665	0.694440597
666	0.6944068652
667	0.6943124975
668	0.6939857621
669	0.6938374324
670	0.6936897488
671	0.6935476063
672	0.6933445599
673	0.6931310267
674	0.6929134471
675	0.6926995141
676	0.6925714499
677	0.6923733031
678	0.6921766446
679	0.6919268058
680	0.6916961727
681	0.6914466196
682	0.6913198284
683	0.6912428207
684	0.6910485159
685	0.6908650878
686	0.690731317
687	0.690527627
688	0.6903606035
689	0.6901885898
690	0.6900514075
691	0.689801898
692	0.6896562671
693	0.6895556909
694	0.6893463799
695	0.6892000891
696	0.6891059778
697	0.6890267558
698	0.6889524138
699	0.6888675275
700	0.6887439091
701	0.6885220111
702	0.6883541685
703	0.6882073649
704	0.68799772
705	0.6879354281
706	0.6877359505
707	0.6876300971
708	0.6874782714
709	0.6873617335
710	0.68720227
711	0.6870231411
712	0.6869178838
713	0.6867580493
714	0.6866067493
715	0.6864959472
716	0.6863606385
717	0.6862384084
718	0.6861582011
719	0.6858779338
720	0.6857964082
721	0.6856939946
722	0.6854989903
723	0.6854119224
724	0.6852393649
725	0.685099179
726	0.6849738762
727	0.6847264496
728	0.684537659
729	0.6843780507
730	0.684257296
731	0.6840789552
732	0.6838590999
733	0.6836662976
734	0.6835906298
735	0.6835234407
736	0.6834517918
737	0.6832995261
738	0.6831426293
739	0.6830215401
740	0.6829398289
741	0.6828732766
742	0.682799843
743	0.6825577219
744	0.6824252536
745	0.6823514969
746	0.6821926901
747	0.6820677142
748	0.6817914728
749	0.6816535059
750	0.6815395542
751	0.6814302837
752	0.6813023858
753	0.6812290484
754	0.6811324362
755	0.6809698077
756	0.6808413699
757	0.6807131884
758	0.6806124748
759	0.6804678972
760	0.6802362919
761	0.6800888651
762	0.679916216
763	0.6798257445
764	0.6797221033
765	0.6796404332
766	0.6794238162
767	0.6792615655
768	0.6789788212
769	0.6789076532
770	0.6788099631
771	0.6786377325
772	0.6784567421
773	0.6783145437
774	0.6782391736
775	0.6781351337
776	0.6780422794
777	0.6779713379
778	0.6778748586
779	0.677693993
780	0.677617814
781	0.6774350588
782	0.6773568883
783	0.6772393605
784	0.677039949
785	0.6768549296
786	0.676715295
787	0.6765627012
788	0.676484712
789	0.6763805354
790	0.6762343921
791	0.6761123347
792	0.6759448116
793	0.6758282013
794	0.6756871638
795	0.6755710234
796	0.6753716533
797	0.6752523263
798	0.6751323241
799	0.6750230771
800	0.6749374547
801	0.6748092329
802	0.674749623
803	0.6746035978
804	0.6743966742
805	0.674243627
806	0.6741705684
807	0.6739454515
808	0.6738602421
809	0.673779075
810	0.6736665162
811	0.6734955376
812	0.6733815774
813	0.6733116596
814	0.6731815637
815	0.6730770465
816	0.6729196421
817	0.6727177203
818	0.6726281693
819	0.6724952771
820	0.6723395697
821	0.6721877181
822	0.6720555003
823	0.6718454862
824	0.671732792
825	0.6715726488
826	0.6714243502
827	0.6713226398
828	0.6711932812
829	0.6711333806
830	0.6710063857
831	0.6707467536
832	0.6706456958
833	0.6705398346
834	0.6705112312
835	0.6703899092
836	0.6702991231
837	0.6700159494
838	0.6698754552
839	0.6697145536
840	0.6696051545
841	0.6693797042
842	0.6692645487
843	0.6692043061
844	0.6690685767
845	0.6688692912
846	0.6687196509
847	0.6686448452
848	0.6685123221
849	0.6684064506
850	0.6683490097
851	0.6682816845
852	0.6681067378
853	0.6679832832
854	0.6677837815
855	0.6676747121
856	0.6675871061
857	0.6674567733
858	0.6673633909
859	0.6671891343
860	0.6669912462
861	0.6668448314
862	0.6667192808
863	0.6665839389
864	0.6664718022
865	0.6664292443
866	0.6662235799
867	0.6661212571
868	0.6659744829
869	0.6658917329
870	0.6656865527
871	0.665517305
872	0.6653685542
873	0.6652195423
874	0.6650563973
875	0.6649421314
876	0.664741758
877	0.6646151934
878	0.6644811062
879	0.664378361
880	0.6643049359
881	0.6642241406
882	0.6641283445
883	0.6640562744
884	0.6639215275
885	0.6636737255
886	0.6635140096
887	0.6634218422
888	0.6632753219
889	0.6632080256
890	0.6631282932
891	0.6629760351
892	0.6628187711
893	0.6627219893
894	0.6626556886
895	0.6625885104
896	0.6624762481
897	0.6622555012
898	0.6619989086
899	0.6619166616
900	0.6617319685
901	0.6615960193
902	0.6614228843
903	0.6613441069
904	0.6612782843
905	0.66117742
906	0.6610269541
907	0.660920937
908	0.6608844175
909	0.6608243336
910	0.6607151158
911	0.6605374617
912	0.6604128921
913	0.6602218558
914	0.6601384423
915	0.6600529102
916	0.6599442825
917	0.6598807944
918	0.6597827974
919	0.6596945232
920	0.659654103
921	0.6595491952
922	0.6594723351
923	0.6593007601
924	0.6592066717
925	0.6590810566
926	0.6588917176
927	0.6587852248
928	0.6586396826
929	0.6584369973
930	0.6582967656
931	0.6581993575
932	0.6579436387
933	0.6577962514
934	0.6577400452
935	0.6576026896
936	0.6575271725
937	0.6573471033
938	0.6572034644
939	0.6569800932
940	0.6568768646
941	0.6567898308
942	0.6567110873
943	0.6566144474
944	0.6564667884
945	0.6564077429
946	0.6562982974
947	0.6561662953
948	0.6560274898
949	0.6559507683
950	0.6558706505
951	0.6556831041
952	0.6554489249
953	0.6553526862
954	0.6552470227
955	0.6550935854
956	0.6549980941
957	0.65486191
958	0.6547018242
959	0.6545052547
960	0.6544090763
961	0.6542543511
962	0.6541283452
963	0.6539295742
964	0.6537768074
965	0.6536727304
966	0.6535617987
967	0.6535086422
968	0.653401137
969	0.6533115857
970	0.6532638619
971	0.6531286487
972	0.6530227552
973	0.6528720856
974	0.6527527752
975	0.6526316358
976	0.6525771229
977	0.652451319
978	0.6523491637
979	0.6521301746
980	0.6519350284
981	0.6517837175
982	0.651688417
983	0.6515531864
984	0.6514492909
985	0.651391283
986	0.6512680336
987	0.6512097627
988	0.6511177022
989	0.6510299888
990	0.6508968385
991	0.6507744979
992	0.6506571089
993	0.6505722621
994	0.6504604251
995	0.6503225077
996	0.6502493185
997	0.6500353138
998	0.6499007356
999	0.6498389599
